Rank,Player,Team,team_long_name,Bye,POS,FG,FGA,XPT,FPTS,ATT,CMP,YDS,TDS,INTS,FL,FPTS_qb,ATT_rb,YDS_rb,TDS_rb,REC,FL_rb,FPTS_rb,REC_te,YDS_te,TDS_te,FL_te,FPTS_te,REC_wr,YDS_wr,TDS_wr,ATT_wr,FL_wr,FPTS_wr,SACK,INT,FR,FF,TD,SAFETY,PA,YDS_AGN,FPTS_dst,ATT_flx,YDS_flx,TDS_flx,REC_flx,FL_flx,FPTS_flx,drafted_by
92,Brock Purdy,SF,49ers,9,QB,0,0,0,0,498.4,336.1,4073.5,29.6,11,2.6,293.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Undrafted
93,Xavier Worthy,KC,Chiefs,6,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.6,844.9,6,3.3,0.8,121.2,0,0,0,0,0,0,0,0,0,3.3,20,0.1,57.6,0.8,121.2,Undrafted
94,Rome Odunze,CHI,Bears,7,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.3,846.6,5.3,1,1.1,115.1,0,0,0,0,0,0,0,0,0,1,6,0,62.3,1.1,115.1,Undrafted
95,David Njoku,CLE,Browns,10,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.4,764.4,5.4,1.2,106.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.4,1.2,106.6,Undrafted
96,Jayden Daniels,WAS,Commanders,14,QB,0,0,0,0,538.3,338.2,3557.6,20,14.6,4.4,282.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Undrafted
97,Javonte Williams,DEN,Broncos,14,RB,0,0,0,0,0,0,0,0,0,0,0,196.4,802.8,4.5,39.2,0.9,138.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196.4,802.8,4.5,39.2,0.9,138.2,Hokie High
98,Devin Singletary,NYG,Giants,11,RB,0,0,0,0,0,0,0,0,0,0,0,196.5,857.3,5,33.4,1,139.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196.5,857.3,5,33.4,1,139.3,Undrafted
99,Austin Ekeler,WAS,Commanders,14,RB,0,0,0,0,0,0,0,0,0,0,0,124.4,516.9,4.1,46.7,1.7,122.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.4,516.9,4.1,46.7,1.7,122.6,Undrafted
100,Brian Robinson Jr.,WAS,Commanders,14,RB,0,0,0,0,0,0,0,0,0,0,0,184.5,762.4,5.3,29.2,1.5,140.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.5,762.4,5.3,29.2,1.5,140.8,DirtDogs
101,Tyjae Spears,TEN,Titans,5,RB,0,0,0,0,0,0,0,0,0,0,0,144.1,612.9,3.6,43.7,0.9,124.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.1,612.9,3.6,43.7,0.9,124.1,WhatDats
102,Keon Coleman,BUF,Bills,12,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.9,773.2,5.2,0.7,1.1,106.7,0,0,0,0,0,0,0,0,0,0.7,4.5,0,57.9,1.1,106.7,Undrafted
103,Courtland Sutton,DEN,Broncos,14,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.6,805.1,5.9,0,1.3,113.3,0,0,0,0,0,0,0,0,0,0,1.2,0,62.6,1.3,113.3,Americas Ass
104,Jared Goff,DET,Lions,5,QB,0,0,0,0,568.4,383.5,4230.2,28.1,10.8,3.1,276.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Easy Marks
105,Brock Bowers,LV,Raiders,10,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.1,689.5,4.6,1.1,94.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.1,1.1,94.4,Undrafted
106,Brian Thomas Jr.,JAX,Jaguars,12,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.7,825.1,5,0.7,1.1,110.9,0,0,0,0,0,0,0,0,0,0.7,5.8,0,62.7,1.1,110.9,Undrafted
107,Jameson Williams,DET,Lions,5,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.8,727.8,4.5,4.5,0.6,107.2,0,0,0,0,0,0,0,0,0,4.5,41.4,0.7,51.8,0.6,107.2,Hokie High
108,Tua Tagovailoa,MIA,Dolphins,6,QB,0,0,0,0,545.1,370.8,4269,27.2,12.7,3.8,271.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Next Year
109,Caleb Williams,CHI,Bears,7,QB,0,0,0,0,539.8,351.2,3802.6,24.9,14.2,4,280.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Undrafted
110,Trevor Lawrence,JAX,Jaguars,12,QB,0,0,0,0,565.7,373,3978.1,24.3,12.7,4.8,285.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WhatDats
111,Trey Benson,ARI,Cardinals,11,RB,0,0,0,0,0,0,0,0,0,0,0,131.4,568.5,3.9,19.4,1.5,96.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.4,568.5,3.9,19.4,1.5,96.5,Undrafted
112,Dallas Goedert,PHI,Eagles,5,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.6,703.5,4.1,0.5,94.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.6,0.5,94.3,Next Year
113,Justin Herbert,LAC,Chargers,5,QB,0,0,0,0,544.2,356.4,3851.9,24.6,9.7,3,279.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Undrafted
114,Curtis Samuel,BUF,Bills,12,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,617.9,4.2,11,0.5,97.2,0,0,0,0,0,0,0,0,0,11,66.5,0.8,58,0.5,97.2,Undrafted
115,Jerome Ford,CLE,Browns,10,RB,0,0,0,0,0,0,0,0,0,0,0,147.3,566.5,3.7,29.6,0.8,108.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.3,566.5,3.7,29.6,0.8,108.2,Undrafted
116,Nick Chubb,CLE,Browns,10,RB,0,0,0,0,0,0,0,0,0,0,0,179.5,829.3,5.8,19.7,0.9,135.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.5,829.3,5.8,19.7,0.9,135.8,Undrafted
117,Blake Corum,LAR,Rams,6,RB,0,0,0,0,0,0,0,0,0,0,0,128.9,542.6,4.1,19.7,1.5,95.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.9,542.6,4.1,19.7,1.5,95.7,Undrafted
118,Chase Brown,CIN,Bengals,12,RB,0,0,0,0,0,0,0,0,0,0,0,116.5,530.4,3.4,34.8,0.5,111.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.5,530.4,3.4,34.8,0.5,111.9,DirtDogs
119,Tyler Lockett,SEA,Seahawks,10,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.2,787.9,5.2,0,0.5,109,0,0,0,0,0,0,0,0,0,0,1.2,0,68.2,0.5,109,Easy Marks
120,Ezekiel Elliott,DAL,Cowboys,7,RB,0,0,0,0,0,0,0,0,0,0,0,180.5,701.8,6.2,31.8,1,134.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.5,701.8,6.2,31.8,1,134.6,Undrafted
121,Khalil Shakir,BUF,Bills,12,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.9,737.1,4.4,0.3,0.2,100.3,0,0,0,0,0,0,0,0,0,0.3,4,0,56.9,0.2,100.3,Undrafted
122,Jakobi Meyers,LV,Raiders,10,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.1,727.4,4.7,1.8,0.5,102.4,0,0,0,0,0,0,0,0,0,1.8,12.5,0.3,64.1,0.5,102.4,Undrafted
123,Gus Edwards,LAC,Chargers,5,RB,0,0,0,0,0,0,0,0,0,0,0,187.2,798.8,7.1,16.2,1.3,136.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187.2,798.8,7.1,16.2,1.3,136.2,Undrafted
124,Romeo Doubs,GB,Packers,10,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.1,682.2,5.6,0,0.5,100.7,0,0,0,0,0,0,0,0,0,0,1.5,0,55.1,0.5,100.7,Americas Ass
125,Kirk Cousins,ATL,Falcons,12,QB,0,0,0,0,534.4,351,4024.7,27,10.5,4.5,268.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Undrafted
126,Joshua Palmer,LAC,Chargers,5,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.5,753.9,4.6,0.3,0.8,101.8,0,0,0,0,0,0,0,0,0,0.3,2.8,0,59.5,0.8,101.8,Undrafted
127,Dalton Schultz,HOU,Texans,14,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.4,613.8,4.9,0.8,89.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.4,0.8,89.1,Undrafted
128,Zach Charbonnet,SEA,Seahawks,10,RB,0,0,0,0,0,0,0,0,0,0,0,114.9,503.8,3,33.3,0.8,94.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.9,503.8,3,33.3,0.8,94.3,Ninjas
129,Pat Freiermuth,PIT,Steelers,9,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.2,613.4,4.6,0.5,87.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.2,0.5,87.9,WhatDats
130,Rashid Shaheed,NO,Saints,12,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.6,731.9,4.2,4.3,0.9,100.4,0,0,0,0,0,0,0,0,0,4.3,33.3,0,50.6,0.9,100.4,Undrafted
131,Matthew Stafford,LAR,Rams,6,QB,0,0,0,0,552.5,355,4122.7,26.8,12.7,2.2,265.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Undrafted
132,Jerry Jeudy,CLE,Browns,10,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.5,815.2,4.2,0.3,0.6,106.3,0,0,0,0,0,0,0,0,0,0.3,4.5,0,59.5,0.6,106.3,Undrafted
133,T.J. Hockenson,MIN,Vikings,6,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.8,618.9,3.6,0.8,81.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.8,0.8,81.9,Hokie High
134,Brandin Cooks,DAL,Cowboys,7,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.9,696.6,5.4,4,0.5,103.9,0,0,0,0,0,0,0,0,0,4,23.1,0.1,56.9,0.5,103.9,Undrafted
135,Mike Williams,NYJ,Jets,12,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.7,787.5,5.2,2.3,0.5,110.2,0,0,0,0,0,0,0,0,0,2.3,9.2,0,58.7,0.5,110.2,Undrafted
136,Kendre Miller,NO,Saints,12,RB,0,0,0,0,0,0,0,0,0,0,0,98.1,397.7,2.7,24.2,0.8,80.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.1,397.7,2.7,24.2,0.8,80.2,WhatDats
137,Cole Kmet,CHI,Bears,7,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.9,590.1,4.4,0.5,84.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.9,0.5,84.2,Undrafted
138,Deshaun Watson,CLE,Browns,10,QB,0,0,0,0,538.6,330.7,3713.6,22.7,13.5,3.8,275.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WhatDats
139,Aaron Rodgers,NYJ,Jets,12,QB,0,0,0,0,545.9,361.2,3834.5,26.2,9.2,2.7,262.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sentinels
140,Jahan Dotson,WAS,Commanders,14,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.8,599.6,4.2,0,0.5,84.5,0,0,0,0,0,0,0,0,0,0,2.5,0,48.8,0.5,84.5,Russ Riders
141,Ty Chandler,MIN,Vikings,6,RB,0,0,0,0,0,0,0,0,0,0,0,142.6,586.7,4.4,20.4,0.8,102.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.6,586.7,4.4,20.4,0.8,102.1,Undrafted
142,Baker Mayfield,TB,Buccaneers,11,QB,0,0,0,0,562,355.5,3947.9,25.7,11.9,3.3,268.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Undrafted
143,MarShawn Lloyd,GB,Packers,10,RB,0,0,0,0,0,0,0,0,0,0,0,101.7,416.5,3.1,18.3,1.1,78.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.7,416.5,3.1,18.3,1.1,78.4,Undrafted
144,Rico Dowdle,DAL,Cowboys,7,RB,0,0,0,0,0,0,0,0,0,0,0,144.1,533.9,3.5,18.8,0.4,93.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.1,533.9,3.5,18.8,0.4,93.8,Undrafted
145,Gabe Davis,JAX,Jaguars,12,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.3,723.1,5.4,0.3,0.9,103.2,0,0,0,0,0,0,0,0,0,0.3,1.3,0,48.3,0.9,103.2,Energy
146,Josh Downs,IND,Colts,14,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.4,632,3.2,0,0.5,82,0,0,0,0,0,0,0,0,0,0,5,0,55.4,0.5,82,Undrafted
147,Taysom Hill,NO,Saints,12,TE,0,0,0,0,5,4,54,0,0,0.5,63.3,0,0,0,0,0,0,29.3,271.7,2.1,0.7,75.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.5,237.3,2.2,29.3,0.7,75.4,WhatDats
148,Dontayvion Wicks,GB,Packers,10,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,575.2,4.4,0.3,0.5,83.4,0,0,0,0,0,0,0,0,0,0.3,4.3,0,43,0.5,83.4,Undrafted
149,Kimani Vidal,LAC,Chargers,5,RB,0,0,0,0,0,0,0,0,0,0,0,16.7,260,1.7,13,0,45.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.7,260,1.7,13,0,45.8,Undrafted
150,Luke Musgrave,GB,Packers,10,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.7,491.5,3.4,0.1,69.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.7,0.1,69.1,Sentinels
151,Jaylen Wright,MIA,Dolphins,6,RB,0,0,0,0,0,0,0,0,0,0,0,58,267.2,2.2,11.5,0.8,52.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,267.2,2.2,11.5,0.8,52.2,Undrafted
152,Chuba Hubbard,CAR,Panthers,11,RB,0,0,0,0,0,0,0,0,0,0,0,121.4,505.6,3.3,22.4,0.8,87.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.4,505.6,3.3,22.4,0.8,87.2,Undrafted
153,Antonio Gibson,NE,Patriots,14,RB,0,0,0,0,0,0,0,0,0,0,0,116.9,445.5,2.3,37.6,1.4,91.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.9,445.5,2.3,37.6,1.4,91.4,Undrafted
154,Geno Smith,SEA,Seahawks,10,QB,0,0,0,0,522.6,342.7,3756,24.3,12.1,3.1,258.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Undrafted
155,Jaleel McLaughlin,DEN,Broncos,14,RB,0,0,0,0,0,0,0,0,0,0,0,107.8,504.3,2.8,26,0.8,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.8,504.3,2.8,26,0.8,88,Undrafted
156,J.K. Dobbins,LAC,Chargers,5,RB,0,0,0,0,0,0,0,0,0,0,0,130.3,531,3.6,22.9,0.9,99.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.3,531,3.6,22.9,0.9,99.2,Undrafted
157,Adonai Mitchell,IND,Colts,14,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.1,629.3,3.6,0.7,0.8,83.2,0,0,0,0,0,0,0,0,0,0.7,4.8,0,46.1,0.8,83.2,Undrafted
158,Will Levis,TEN,Titans,5,QB,0,0,0,0,511,320.7,3705.1,21.6,12.8,4.2,245.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Undrafted
159,Adam Thielen,CAR,Panthers,11,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.3,679.7,4.2,0.3,0.6,92.4,0,0,0,0,0,0,0,0,0,0.3,2.5,0,67.3,0.6,92.4,Undrafted
160,Quentin Johnston,LAC,Chargers,5,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.4,554.3,3.5,1.7,0.2,76.9,0,0,0,0,0,0,0,0,0,1.7,6.9,0,44.4,0.2,76.9,Ninjas
161,Michael Wilson,ARI,Cardinals,11,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,591.9,3.4,0,0.2,79.5,0,0,0,0,0,0,0,0,0,0,1.3,0,45,0.2,79.5,Undrafted
162,Darnell Mooney,ATL,Falcons,12,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.1,642.3,4,2.1,0.2,89.5,0,0,0,0,0,0,0,0,0,2.1,11.7,0.1,46.1,0.2,89.5,Undrafted
163,Hunter Henry,NE,Patriots,14,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,458.9,4,0.1,69.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0.1,69.9,Undrafted
164,Tyler Allgeier,ATL,Falcons,12,RB,0,0,0,0,0,0,0,0,0,0,0,133.2,550.6,3.8,21.3,0.8,100.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.2,550.6,3.8,21.3,0.8,100.5,Sentinels
165,Ray Davis,BUF,Bills,12,RB,0,0,0,0,0,0,0,0,0,0,0,87.1,370.2,2.9,15.9,1.2,68.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.1,370.2,2.9,15.9,1.2,68.4,Undrafted
166,Xavier Legette,CAR,Panthers,11,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.7,656.3,3.5,2.8,0.8,87.4,0,0,0,0,0,0,0,0,0,2.8,17.5,0.1,50.7,0.8,87.4,Undrafted
167,DeMario Douglas,NE,Patriots,14,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.1,704.9,3.1,10,1.2,92.7,0,0,0,0,0,0,0,0,0,10,50.1,0.2,58.1,1.2,92.7,Undrafted
168,Tyler Conklin,NYJ,Jets,12,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.4,529.6,3.4,0.1,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.4,0.1,73,Sentinels
169,Derek Carr,NO,Saints,12,QB,0,0,0,0,544.6,363.8,3848.6,25,11.1,3.2,246.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Undrafted
170,Ja'Lynn Polk,NE,Patriots,14,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.9,614.5,2.8,0.7,0.4,78,0,0,0,0,0,0,0,0,0,0.7,5.8,0,49.9,0.4,78,Undrafted
171,Cade Otton,TB,Buccaneers,11,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.4,477.9,3.5,0.4,68.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.4,0.4,68.2,Easy Marks
172,Bucky Irving,TB,Buccaneers,11,RB,0,0,0,0,0,0,0,0,0,0,0,96.5,363.4,2.5,13.5,1.1,64.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.5,363.4,2.5,13.5,1.1,64.2,Undrafted
173,Bryce Young,CAR,Panthers,11,QB,0,0,0,0,531.7,333.5,3454,19.2,12.1,3.5,226.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Energy
174,Troy Franklin,DEN,Broncos,14,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.8,517.1,3.1,1,0.7,69.2,0,0,0,0,0,0,0,0,0,1,5,0,40.8,0.7,69.2,Undrafted
175,Daniel Jones,NYG,Giants,11,QB,0,0,0,0,494.2,322.7,3222.2,16.6,10.8,3.6,245.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Undrafted
176,Wan'Dale Robinson,NYG,Giants,11,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.3,571.4,2.9,8.1,0.5,82,0,0,0,0,0,0,0,0,0,8.1,58.4,0.5,60.3,0.5,82,Undrafted
177,Roschon Johnson,CHI,Bears,7,RB,0,0,0,0,0,0,0,0,0,0,0,75.9,289.5,2.3,21.1,0.5,58.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.9,289.5,2.3,21.1,0.5,58.9,Energy
178,Chigoziem Okonkwo,TEN,Titans,5,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.1,532,2.6,0.4,68.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,50.1,0.4,68.3,Undrafted
179,Jermaine Burton,CIN,Bengals,12,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.9,591.4,3.8,1,0.4,81.9,0,0,0,0,0,0,0,0,0,1,5.7,0,45.9,0.4,81.9,Undrafted
180,Ricky Pearsall,SF,49ers,9,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.6,485.8,3.5,2.2,0.7,70,0,0,0,0,0,0,0,0,0,2.2,14.5,0.1,37.6,0.7,70,Undrafted
181,Tyrone Tracy Jr.,NYG,Giants,11,RB,0,0,0,0,0,0,0,0,0,0,0,97.2,361.5,2.2,14.7,1.1,60.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.2,361.5,2.2,14.7,1.1,60.6,Undrafted
182,Elijah Mitchell,SF,49ers,9,RB,0,0,0,0,0,0,0,0,0,0,0,98.3,402.6,3.2,9.2,0.7,64.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.3,402.6,3.2,9.2,0.7,64.7,Undrafted
183,Braelon Allen,NYJ,Jets,12,RB,0,0,0,0,0,0,0,0,0,0,0,100.5,385.3,2.7,10,0.8,63.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.5,385.3,2.7,10,0.8,63.4,Undrafted
184,Noah Fant,SEA,Seahawks,10,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,461.6,2.8,0.1,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0.1,62.5,Energy
185,Isaiah Likely,BAL,Ravens,14,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.6,381.8,3.7,0,60.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.6,0,60.5,Undrafted
186,Jonnu Smith,MIA,Dolphins,6,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.2,379.3,2.4,0.4,51.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.2,0.4,51.7,Undrafted
187,Marvin Mims Jr.,DEN,Broncos,14,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.9,595.3,2.8,6.2,0.3,79.9,0,0,0,0,0,0,0,0,0,6.2,33.5,0.2,45.9,0.3,79.9,Sentinels
188,Russell Wilson,PIT,Steelers,9,QB,0,0,0,0,438.2,279.1,3048.6,18.8,9.8,3.5,227.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ninjas
189,Khalil Herbert,CHI,Bears,7,RB,0,0,0,0,0,0,0,0,0,0,0,105.9,447.3,2.7,12.9,0.8,72.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.9,447.3,2.7,12.9,0.8,72.2,Undrafted
190,Rashod Bateman,BAL,Ravens,14,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.6,599.1,3.5,0.3,0.2,81.1,0,0,0,0,0,0,0,0,0,0.3,4.8,0,45.6,0.2,81.1,Hokie High
191,Roman Wilson,PIT,Steelers,9,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.8,517.2,2.9,0.7,0.4,69.2,0,0,0,0,0,0,0,0,0,0.7,10,0,39.8,0.4,69.2,Undrafted
192,Demarcus Robinson,LAR,Rams,6,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.2,592.2,4.4,0.3,0.6,85.3,0,0,0,0,0,0,0,0,0,0.3,7.8,0,46.2,0.6,85.3,Undrafted
