Rank,Player,Team,team_long_name,Bye,POS,FG,FGA,XPT,FPTS,ATT,CMP,YDS,TDS,INTS,FL,FPTS_qb,ATT_rb,YDS_rb,TDS_rb,REC,FL_rb,FPTS_rb,REC_te,YDS_te,TDS_te,FL_te,FPTS_te,REC_wr,YDS_wr,TDS_wr,ATT_wr,FL_wr,FPTS_wr,SACK,INT,FR,FF,TD,SAFETY,PA,YDS_AGN,FPTS_dst,ATT_flx,YDS_flx,TDS_flx,REC_flx,FL_flx,FPTS_flx,drafted_by
22,Deebo Samuel Sr.,SF,49ers,9,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.9,924,5.9,33.9,1,163.6,0,0,0,0,0,0,0,0,0,33.9,199.6,3,66.9,1,163.6,Undrafted
23,Josh Allen,BUF,Bills,12,QB,0,0,0,0,559.6,364.5,4029.5,27.6,14.2,4,357.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Undrafted
24,Derrick Henry,BAL,Ravens,14,RB,0,0,0,0,0,0,0,0,0,0,0,265.8,1178.5,11.2,24.1,1,207.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265.8,1178.5,11.2,24.1,1,207.5,Undrafted
25,Travis Etienne Jr.,JAX,Jaguars,12,RB,0,0,0,0,0,0,0,0,0,0,0,250.2,1023.1,8.4,45.8,1.3,193.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250.2,1023.1,8.4,45.8,1.3,193.9,Ninjas
26,Sam LaPorta,DET,Lions,5,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.3,893.6,7.9,0.4,136.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.3,0.4,136.1,Easy Marks
27,Brandon Aiyuk,SF,49ers,9,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.6,1136,7.3,0.8,0.9,155.8,0,0,0,0,0,0,0,0,0,0.8,4,0,75.6,0.9,155.8,Undrafted
28,Jaylen Waddle,MIA,Dolphins,6,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.8,1108.5,5.7,3.6,0.5,146.3,0,0,0,0,0,0,0,0,0,3.6,21.1,0.1,80.8,0.5,146.3,Easy Marks
29,Mike Evans,TB,Buccaneers,11,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.5,1121.4,8.6,0,0.5,162.9,0,0,0,0,0,0,0,0,0,0,1.2,0,75.5,0.5,162.9,Undrafted
30,Michael Pittman Jr.,IND,Colts,14,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.1,1069.5,5,0.3,1,135.3,0,0,0,0,0,0,0,0,0,0.3,3,0,97.1,1,135.3,Undrafted
31,Cooper Kupp,LAR,Rams,6,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,1038.2,7,2.9,0.5,146.8,0,0,0,0,0,0,0,0,0,2.9,17.3,0.1,85,0.5,146.8,Undrafted
32,Jalen Hurts,PHI,Eagles,5,QB,0,0,0,0,520.1,339.7,3811.3,24.4,12.3,3.8,360.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hokie High
